,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-07-20,18.729999542236328,18.83799934387207,18.163999557495117,18.61199951171875,18.578418731689453,434687000
1,2021-07-21,18.881999969482422,19.527000427246094,18.742000579833984,19.40999984741211,19.374977111816406,371017000
2,2021-07-22,19.642000198364258,19.886999130249023,19.275999069213867,19.5939998626709,19.558643341064453,323826000
3,2021-07-23,19.6560001373291,19.700000762939453,19.25,19.558000564575195,19.522708892822266,195672000
4,2021-07-26,19.31100082397461,19.441999435424805,18.913999557495117,19.29400062561035,19.259185791015625,203943000
5,2021-07-27,19.264999389648438,19.621999740600586,18.740999221801758,19.20800018310547,19.173341751098633,248863000
6,2021-07-28,19.319000244140625,19.645999908447266,18.9950008392334,19.503000259399414,19.467809677124023,202191000
7,2021-07-29,19.518999099731445,19.85300064086914,19.327999114990234,19.66200065612793,19.62652015686035,190781000
8,2021-07-30,19.417999267578125,19.6299991607666,19.26300048828125,19.499000549316406,19.463817596435547,183497000
9,2021-08-02,19.700000762939453,19.961000442504883,19.361000061035156,19.75,19.71436309814453,217444000
10,2021-08-03,19.739999771118164,20.222000122070312,19.219999313354492,19.815000534057617,19.779247283935547,301811000
11,2021-08-04,19.989999771118164,20.31800079345703,19.827999114990234,20.27400016784668,20.23741340637207,231309000
12,2021-08-05,20.5,20.732999801635742,20.341999053955078,20.636999130249023,20.599763870239258,211435000
13,2021-08-06,20.52400016784668,20.56999969482422,20.209999084472656,20.365999221801758,20.329248428344727,178497000
14,2021-08-09,20.445999145507812,20.507999420166016,20.14299964904785,20.295000076293945,20.258377075195312,146443000
15,2021-08-10,20.32200050354004,20.43000030517578,19.834999084472656,19.93600082397461,19.90003204345703,179238000
16,2021-08-11,20.042999267578125,20.048999786376953,19.43000030517578,19.698999404907227,19.6634521484375,185925000
17,2021-08-12,19.8700008392334,20.02899932861328,19.6200008392334,19.905000686645508,19.869083404541016,151652000
18,2021-08-13,19.905000686645508,20.214000701904297,19.85099983215332,20.187999725341797,20.15157127380371,183063000
19,2021-08-16,20.135000228881836,20.28700065612793,19.452999114990234,19.950000762939453,19.914003372192383,210876000
20,2021-08-17,19.684999465942383,19.770000457763672,19.267000198364258,19.45800018310547,19.42288589477539,204585000
21,2021-08-18,19.5,19.634000778198242,19.0,19.040000915527344,19.00564193725586,285913000
22,2021-08-19,19.493999481201172,20.4950008392334,18.761999130249023,19.79800033569336,19.76227569580078,766555000
23,2021-08-20,19.990999221801758,20.864999771118164,19.933000564575195,20.81599998474121,20.778438568115234,675741000
24,2021-08-23,20.97100067138672,21.996999740600586,20.950000762939453,21.95800018310547,21.918380737304688,575807000
