,timestamp,open,high,low,close,volume
0,2024-03-18 09:00:00,72600,72700,72500,72700,525448
1,2024-03-18 09:01:00,72700,72900,72600,72800,243017
2,2024-03-18 09:02:00,72800,72800,72700,72800,45015
3,2024-03-18 09:03:00,72800,72800,72700,72800,48635
4,2024-03-18 09:04:00,72700,72800,72600,72600,265091
5,2024-03-18 09:05:00,72700,72700,72500,72600,58264
6,2024-03-18 09:06:00,72600,72700,72500,72700,91938
7,2024-03-18 09:07:00,72700,72700,72600,72600,50769
8,2024-03-18 09:08:00,72700,72800,72600,72800,178946
9,2024-03-18 09:09:00,72800,72800,72700,72800,34245
10,2024-03-18 09:10:00,72800,72800,72700,72800,66913
11,2024-03-18 09:11:00,72800,72900,72700,72900,44853
12,2024-03-18 09:12:00,72900,72900,72800,72900,11276
13,2024-03-18 09:13:00,72800,72900,72800,72800,61104
14,2024-03-18 09:14:00,72800,72900,72700,72800,91820
15,2024-03-18 09:15:00,72800,72900,72700,72800,48410
16,2024-03-18 09:16:00,72800,72800,72700,72800,8507
17,2024-03-18 09:17:00,72800,72800,72700,72800,12887
18,2024-03-18 09:18:00,72800,72800,72700,72800,44579
19,2024-03-18 09:19:00,72800,72800,72700,72800,16580
20,2024-03-18 09:20:00,72700,72800,72600,72700,118900
21,2024-03-18 09:21:00,72600,72700,72600,72700,24652
22,2024-03-18 09:22:00,72700,72700,72600,72600,31016
23,2024-03-18 09:23:00,72600,72700,72600,72700,21173
24,2024-03-18 09:24:00,72700,72700,72600,72700,17998
25,2024-03-18 09:25:00,72700,72700,72600,72600,21577
26,2024-03-18 09:26:00,72700,72700,72600,72700,17687
27,2024-03-18 09:27:00,72600,72700,72600,72600,30338
28,2024-03-18 09:28:00,72700,72700,72600,72600,22653
29,2024-03-18 09:29:00,72600,72700,72600,72700,20964
30,2024-03-18 09:30:00,72700,72700,72600,72600,19437
31,2024-03-18 09:31:00,72700,72700,72600,72600,23499
32,2024-03-18 09:32:00,72700,72700,72500,72500,105834
33,2024-03-18 09:33:00,72500,72600,72500,72500,21534
34,2024-03-18 09:34:00,72500,72600,72500,72500,18634
35,2024-03-18 09:35:00,72600,72600,72500,72500,33675
36,2024-03-18 09:36:00,72600,72600,72500,72600,27707
37,2024-03-18 09:37:00,72600,72600,72500,72600,18870
38,2024-03-18 09:38:00,72600,72600,72500,72600,42316
39,2024-03-18 09:39:00,72600,72600,72500,72600,17933
40,2024-03-18 09:40:00,72600,72600,72500,72600,25434
41,2024-03-18 09:41:00,72600,72600,72500,72600,28256
42,2024-03-18 09:42:00,72500,72600,72500,72600,29197
43,2024-03-18 09:43:00,72500,72700,72500,72700,126522
44,2024-03-18 09:44:00,72700,72700,72600,72700,15129
45,2024-03-18 09:45:00,72700,72700,72600,72600,9854
46,2024-03-18 09:46:00,72700,72700,72600,72700,11085
47,2024-03-18 09:47:00,72700,72700,72600,72700,9174
48,2024-03-18 09:48:00,72700,72800,72600,72800,121365
49,2024-03-18 09:49:00,72800,72800,72700,72700,92897
50,2024-03-18 09:50:00,72800,72900,72700,72800,84891
51,2024-03-18 09:51:00,72800,72900,72700,72800,37436
52,2024-03-18 09:52:00,72800,72800,72700,72800,11453
53,2024-03-18 09:53:00,72800,72800,72700,72800,6557
54,2024-03-18 09:54:00,72800,72800,72700,72800,20648
55,2024-03-18 09:55:00,72800,72800,72700,72800,6314
56,2024-03-18 09:56:00,72800,72800,72700,72800,6396
57,2024-03-18 09:57:00,72800,72800,72700,72700,11675
58,2024-03-18 09:58:00,72800,72800,72700,72800,6549
59,2024-03-18 09:59:00,72800,72800,72700,72800,2998
60,2024-03-18 10:00:00,72800,72800,72700,72800,5182
61,2024-03-18 10:01:00,72800,72800,72700,72700,13400
62,2024-03-18 10:02:00,72700,72800,72700,72800,10015
63,2024-03-18 10:03:00,72800,72800,72700,72800,12659
64,2024-03-18 10:04:00,72800,72800,72700,72800,12228
65,2024-03-18 10:05:00,72700,72800,72700,72800,9826
66,2024-03-18 10:06:00,72700,72800,72700,72800,31923
67,2024-03-18 10:07:00,72700,72800,72700,72800,9331
68,2024-03-18 10:08:00,72700,72800,72700,72800,9016
69,2024-03-18 10:09:00,72800,72800,72600,72700,174837
70,2024-03-18 10:10:00,72700,72800,72600,72700,31511
71,2024-03-18 10:11:00,72700,72800,72700,72800,5844
72,2024-03-18 10:12:00,72800,72800,72700,72700,5330
73,2024-03-18 10:13:00,72700,72800,72700,72700,10281
74,2024-03-18 10:14:00,72700,72800,72700,72700,6299
75,2024-03-18 10:15:00,72800,72800,72700,72700,6557
76,2024-03-18 10:16:00,72700,72800,72700,72700,6049
77,2024-03-18 10:17:00,72700,72800,72700,72800,12484
78,2024-03-18 10:18:00,72800,72800,72700,72800,9642
79,2024-03-18 10:19:00,72800,72800,72700,72700,9678
80,2024-03-18 10:20:00,72700,72800,72700,72800,12264
81,2024-03-18 10:21:00,72800,72800,72700,72800,13159
82,2024-03-18 10:22:00,72700,72800,72700,72800,10835
83,2024-03-18 10:23:00,72800,72800,72700,72800,11087
84,2024-03-18 10:24:00,72800,72800,72700,72700,6923
85,2024-03-18 10:25:00,72700,72800,72700,72700,7948
86,2024-03-18 10:26:00,72700,72800,72700,72800,11992
87,2024-03-18 10:27:00,72800,72800,72700,72800,28822
88,2024-03-18 10:28:00,72800,72800,72600,72700,96483
89,2024-03-18 10:29:00,72700,72700,72600,72700,10641
90,2024-03-18 10:30:00,72700,72700,72600,72700,10247
91,2024-03-18 10:31:00,72600,72700,72600,72600,10644
92,2024-03-18 10:32:00,72700,72700,72600,72600,16991
93,2024-03-18 10:33:00,72700,72700,72600,72700,15321
94,2024-03-18 10:34:00,72700,72700,72600,72600,10306
95,2024-03-18 10:35:00,72700,72700,72600,72700,8901
96,2024-03-18 10:36:00,72700,72700,72600,72700,9239
97,2024-03-18 10:37:00,72700,72700,72600,72700,15066
98,2024-03-18 10:38:00,72700,72700,72600,72700,11725
99,2024-03-18 10:39:00,72600,72700,72600,72700,12024
100,2024-03-18 10:40:00,72700,72700,72600,72700,9122
101,2024-03-18 10:41:00,72700,72700,72600,72700,14686
102,2024-03-18 10:42:00,72600,72800,72600,72800,115167
103,2024-03-18 10:43:00,72800,72800,72600,72700,47244
104,2024-03-18 10:44:00,72700,72800,72700,72800,5888
